overallMotivation_ID,overallMotivation
OM001,for pioneering experimental contributions to lepton physics
OM002,for contributions to the developments of methods within DNA-based chemistry
OM003,for basic work on information and communication technology
OM004,for the development of methods for identification and structure analyses of biological macromolecules
OM005,for discoveries concerning channels in cell membranes
OM006,for pioneering contributions to the development of neutron scattering techniques for studies of condensed matter
